z,init_n_neg,final_n_neg,feasible,L1_dev,final_min_T,wall_s,dispatch
264,1547,0,1,1729.633,0.010087,18.06,
265,1476,0,1,1715.148,0.010090,17.71,
266,1505,0,1,1868.650,0.010090,16.43,
267,1564,0,1,1869.067,0.010090,17.35,
268,1440,0,1,1804.981,0.010090,28.29,
269,1376,0,1,1747.462,0.010090,22.80,
270,1318,0,1,1375.880,0.010090,22.25,
271,1386,0,1,1435.404,0.010090,16.89,
272,1499,0,1,1706.802,0.010090,16.48,
273,1455,0,1,1739.268,0.010089,15.77,
274,1419,0,1,1524.167,0.010090,15.90,
275,1690,0,1,2095.185,0.010090,17.07,
276,1564,0,1,2363.772,0.010090,17.06,
277,1618,0,1,1905.935,0.010090,17.36,
278,1695,0,1,1848.788,0.010090,28.42,
279,1764,0,1,2480.499,0.010090,31.12,
280,1634,0,1,2757.937,0.010090,20.88,
281,1744,0,1,2912.416,0.010090,17.78,
282,1734,0,1,2058.015,0.010087,18.03,
283,1573,0,1,2070.691,0.010081,17.03,
284,1607,0,1,2132.211,0.010082,16.67,
285,1380,0,1,1589.359,0.010090,15.78,
286,1526,0,1,1749.565,0.010090,16.32,
287,1563,0,1,1716.795,0.010090,16.79,
288,1537,0,1,1666.130,0.010064,17.68,
289,1720,0,1,2052.694,0.010087,18.79,
290,1709,0,1,2073.657,0.010049,18.46,
291,1737,0,1,2003.280,0.010089,18.84,
292,1978,0,1,2534.252,0.010085,19.15,
293,1970,0,1,2424.755,0.010059,18.68,
294,1955,0,1,2375.514,0.010091,20.14,
295,1823,0,1,2025.613,0.010090,17.99,
296,1852,0,1,2269.934,0.010089,17.70,
297,1967,0,1,2711.186,0.010042,19.48,
298,1844,0,1,2010.869,0.010090,18.68,
299,1722,0,1,1987.160,0.010078,18.79,
300,1847,0,1,2077.860,0.009994,17.92,
301,1830,0,1,2146.942,0.010090,18.23,
302,1826,0,1,1981.073,0.010057,17.54,
303,1840,0,1,2066.118,0.010090,17.52,
304,1745,0,1,1999.474,0.010090,18.94,
305,1644,0,1,1816.257,0.010028,18.72,
306,1636,0,1,2061.783,0.010090,16.93,
307,1855,0,1,2133.406,0.010090,18.79,
308,1683,0,1,1766.221,0.010090,18.25,
309,1683,0,1,2063.100,0.010090,18.05,
310,1623,0,1,1750.017,0.010090,29.30,
311,1670,0,1,1873.428,0.010082,19.00,
312,1656,0,1,1894.768,0.010091,18.51,
313,1702,0,1,2120.693,0.010089,18.03,
314,1790,0,1,2705.531,0.010007,18.04,
315,1850,0,1,1990.933,0.010090,18.29,
316,1660,0,1,1999.086,0.010090,17.55,
317,1532,0,1,1715.502,0.010090,17.14,
318,1543,0,1,1758.735,0.010063,18.32,
319,1583,0,1,1594.165,0.010090,19.61,
320,1514,0,1,1565.048,0.010090,19.76,
321,1522,0,1,1621.451,0.010091,19.73,
322,1721,0,1,1950.058,0.010090,18.53,
323,1693,0,1,1809.802,0.010065,19.35,
324,1702,0,1,1870.313,0.010090,19.97,
325,1674,0,1,2035.805,0.010090,18.55,
326,1799,0,1,3150.173,0.010090,18.58,
327,1802,0,1,1993.091,0.010082,16.97,
328,1622,0,1,1764.351,0.010090,17.76,
329,2069,0,1,2545.676,0.010091,19.32,
330,1992,0,1,2296.065,0.010064,18.56,
331,1931,0,1,2079.805,0.010089,18.90,
332,1809,0,1,2340.827,0.010089,18.30,
333,1804,0,1,2228.552,0.010090,18.35,
334,1908,0,1,2218.413,0.010090,18.89,
335,1933,0,1,2159.684,0.010057,17.94,
336,1923,0,1,3275.916,0.010090,18.37,
337,1915,0,1,2607.710,0.010087,17.12,
338,1741,0,1,2007.606,0.010090,18.18,
339,1746,0,1,2104.885,0.010080,16.61,
340,1625,0,1,1600.942,0.010091,17.30,
341,1591,0,1,1840.829,0.010090,15.66,
342,1609,0,1,1780.393,0.010090,18.77,
343,1543,0,1,1737.083,0.010090,22.33,
344,1609,0,1,1811.484,0.010090,18.90,
345,1563,0,1,2337.291,0.010090,18.95,
346,1664,0,1,1828.602,0.010085,18.04,
347,1706,0,1,2115.592,0.010091,18.95,
348,1694,0,1,1897.169,0.010090,19.10,
349,1826,0,1,2567.246,0.010090,19.97,
350,1661,0,1,1934.701,0.009993,23.41,
351,1817,0,1,3490.596,0.010084,20.17,
352,1638,0,1,1844.209,0.010090,20.90,
353,1833,0,1,2159.957,0.010090,18.62,
354,1892,0,1,4569.314,0.010090,16.55,
355,1869,0,1,4670.006,0.010090,19.15,
356,1932,0,1,2519.590,0.010090,17.57,
357,2189,0,1,5981.468,0.010080,16.64,
358,2216,0,1,5785.039,0.010090,17.19,
359,1923,0,1,5846.547,0.010068,16.49,
360,2012,0,1,4267.872,0.010089,17.04,
361,1664,0,1,1967.609,0.010046,21.14,
362,1676,0,1,1962.839,0.010075,20.54,
363,1490,0,1,1664.258,0.010090,17.04,
364,1602,0,1,2318.247,0.010090,17.33,
365,1574,0,1,1713.231,0.010090,16.47,
366,1492,0,1,2400.782,0.010085,16.21,
367,1477,0,1,1617.164,0.010089,18.60,
368,1311,0,1,1282.615,0.010088,17.83,
369,1249,0,1,1331.895,0.010090,17.35,
370,1367,0,1,1453.017,0.010090,17.26,
371,1568,0,1,1821.379,0.010090,19.82,
372,1474,0,1,1947.923,0.010090,18.15,
373,1478,0,1,2704.610,0.010090,18.87,
374,1499,0,1,1785.134,0.010090,15.89,
375,1319,0,1,1485.279,0.010090,18.99,
376,1286,0,1,1569.099,0.010090,15.65,
377,1303,0,1,1543.645,0.010090,17.36,
378,1310,0,1,2189.574,0.010090,17.58,
379,1381,0,1,2366.743,0.010085,18.13,
380,1106,0,1,1242.976,0.010090,15.66,
381,1087,0,1,1268.832,0.010090,14.94,
382,1176,0,1,1276.375,0.010087,14.78,
383,1179,0,1,1340.835,0.010090,15.32,
384,1157,0,1,1489.143,0.010090,15.24,
385,1157,0,1,1263.766,0.010090,15.65,
386,1188,0,1,1368.605,0.010090,21.30,
387,1144,0,1,1381.104,0.010091,15.35,
388,1262,0,1,1387.589,0.010090,15.06,
389,1182,0,1,1594.236,0.010055,13.37,
390,1096,0,1,1817.522,0.010090,14.76,
391,1097,0,1,2681.547,0.010090,14.56,
392,1095,0,1,1686.978,0.010089,14.31,
393,1119,0,1,1327.456,0.010076,15.31,
394,1140,0,1,1323.209,0.010090,12.98,
395,1124,0,1,1166.129,0.010090,13.64,
396,1234,0,1,1372.330,0.010090,13.54,
397,1207,0,1,1250.707,0.010090,12.62,
398,1163,0,1,1385.067,0.010087,14.05,
399,1156,0,1,1408.078,0.010090,13.56,
400,1348,0,1,1455.178,0.010090,17.93,
401,1369,0,1,1581.194,0.010091,17.03,
402,1393,0,1,2397.912,0.010090,15.12,
403,1313,0,1,1408.473,0.010090,15.97,
404,1403,0,1,1741.813,0.010072,16.71,
405,1422,0,1,1725.848,0.010088,20.00,
406,1533,0,1,1764.922,0.010090,17.91,
407,1588,0,1,1817.747,0.010090,17.06,
408,1596,0,1,1809.787,0.010090,17.76,
409,1550,0,1,1759.259,0.010080,14.73,
410,1586,0,1,2145.306,0.010090,15.28,
411,1585,0,1,1973.857,0.010090,17.17,
412,1470,0,1,1590.521,0.010087,15.45,
413,1599,0,1,1862.396,0.010090,17.20,
414,1476,0,1,1701.209,0.010082,14.77,
415,1519,0,1,1538.150,0.010091,17.72,
416,1475,0,1,1689.532,0.010091,15.71,
417,1564,0,1,2899.238,0.010090,13.34,
418,1499,0,1,1809.206,0.010091,14.75,
419,1724,0,1,1974.362,0.010090,18.47,
420,1710,0,1,3097.587,0.010076,18.72,
421,1683,0,1,2829.485,0.010090,17.17,
422,1586,0,1,3861.759,0.010090,13.54,
423,1170,0,1,1877.283,0.010090,13.89,
424,1136,0,1,1426.777,0.010090,13.80,
425,1262,0,1,1598.172,0.010091,12.87,
426,1277,0,1,1320.664,0.010090,13.34,
427,1230,0,1,1221.160,0.010090,13.44,
428,1138,0,1,1365.917,0.010091,14.23,
429,1121,0,1,1276.242,0.010090,12.88,
430,1086,0,1,1186.077,0.010090,12.69,
431,1088,0,1,1218.320,0.010090,13.45,
432,1270,0,1,1470.725,0.010090,14.39,
433,1319,0,1,1451.597,0.010087,15.56,
434,1354,0,1,1513.449,0.010086,16.69,
435,1402,0,1,1550.237,0.010091,16.93,
436,1297,0,1,1440.253,0.010062,15.59,
437,1407,0,1,1529.751,0.010090,16.08,
438,1371,0,1,1450.055,0.010091,16.02,
439,1515,0,1,1789.246,0.010090,16.72,
440,1372,0,1,1515.155,0.010089,19.70,
441,1556,0,1,2389.785,0.010090,21.90,
442,1596,0,1,1719.753,0.010090,20.27,
443,1759,0,1,2126.327,0.010086,17.97,
444,1653,0,1,1855.178,0.010090,18.32,
445,1514,0,1,2123.725,0.010080,16.22,
446,1556,0,1,2224.842,0.010089,17.14,
447,1491,0,1,1687.582,0.010090,22.27,
448,1392,0,1,1574.203,0.010091,15.74,
449,1329,0,1,1580.692,0.010090,14.74,
450,1432,0,1,2371.667,0.010090,17.01,
451,1392,0,1,1679.523,0.010090,15.05,
452,1365,0,1,1521.645,0.010090,14.49,
453,1282,0,1,1394.381,0.010091,14.92,
454,1346,0,1,1383.105,0.010090,14.10,
455,1367,0,1,1478.039,0.010091,14.95,
456,1554,0,1,2174.937,0.010090,16.32,
457,1546,0,1,1840.786,0.010050,14.97,
458,1411,0,1,2230.261,0.010090,16.59,
459,1226,0,1,1336.982,0.010085,14.90,
460,1486,0,1,1450.125,0.010038,16.02,
461,1536,0,1,2842.969,0.010090,18.45,
462,1527,0,1,2345.323,0.010090,16.73,
463,1539,0,1,1629.255,0.010090,15.11,
464,1535,0,1,1742.369,0.010090,17.81,
465,1517,0,1,1803.927,0.010090,15.31,
466,1411,0,1,1783.130,0.010090,14.39,
467,1242,0,1,1388.944,0.010063,13.13,
468,1174,0,1,1328.798,0.010091,13.41,
469,1307,0,1,1496.611,0.010090,15.79,
470,1292,0,1,1551.161,0.010090,15.81,
471,1370,0,1,1431.673,0.010090,14.45,
472,1325,0,1,1603.733,0.010089,15.52,
473,1220,0,1,1365.887,0.010090,20.47,
474,1227,0,1,1476.494,0.010090,14.21,
475,1196,0,1,1467.357,0.010090,15.52,
476,1160,0,1,1273.593,0.010075,14.87,
477,1099,0,1,1125.980,0.010090,14.84,
478,1251,0,1,1568.420,0.010090,14.40,
479,1121,0,1,1223.803,0.010090,14.21,
480,1098,0,1,1231.497,0.010091,14.89,
481,1126,0,1,1215.535,0.010090,14.22,
482,1099,0,1,1337.297,0.010090,15.88,
483,1246,0,1,1606.469,0.010090,14.58,
484,1229,0,1,2340.642,0.010091,13.72,
485,1266,0,1,1384.791,0.010090,14.28,
486,1269,0,1,1372.793,0.010090,14.19,
487,1291,0,1,1605.054,0.010090,16.28,
488,1314,0,1,1356.986,0.010091,16.73,
489,1285,0,1,1479.618,0.010088,14.30,
490,1221,0,1,1302.406,0.010090,14.18,
491,1225,0,1,2013.608,0.010091,14.94,
492,1237,0,1,1418.027,0.010090,16.51,
493,1183,0,1,1500.901,0.010090,13.45,
494,1181,0,1,1728.267,0.010090,13.43,
495,1098,0,1,1230.308,0.010000,14.95,
496,1260,0,1,1527.030,0.010091,15.31,
497,1135,0,1,1329.080,0.010090,13.67,
498,1187,0,1,1431.209,0.010090,11.84,
499,1168,0,1,1259.538,0.010090,13.81,
500,1186,0,1,1407.016,0.010091,12.51,
501,1176,0,1,1954.311,0.010090,15.09,
502,1166,0,1,2032.427,0.010089,11.74,
503,1283,0,1,1663.786,0.010091,14.49,
504,1270,0,1,1424.275,0.010075,16.91,
505,1285,0,1,1467.670,0.010090,18.70,
506,1251,0,1,1684.055,0.010090,27.75,
507,1200,0,1,2568.653,0.010088,12.73,
508,1177,0,1,1387.860,0.010068,13.55,
509,1113,0,1,1318.249,0.010091,12.71,
510,1272,0,1,1413.501,0.010090,13.57,
511,1210,0,1,1371.782,0.010089,15.65,
512,1281,0,1,1338.531,0.010090,13.54,
513,1118,0,1,1253.284,0.010090,12.65,
514,955,0,1,986.068,0.010090,20.23,
515,894,0,1,1214.168,0.010089,17.20,
516,1002,0,1,1077.044,0.010091,11.07,
517,992,0,1,984.551,0.010091,12.94,
518,901,0,1,967.682,0.010080,10.75,
519,842,0,1,1263.638,0.010090,9.44,
520,767,0,1,728.030,0.010090,11.26,
521,730,0,1,884.930,0.010090,8.95,
522,835,0,1,895.479,0.010091,9.51,
523,890,0,1,1311.655,0.010090,10.69,
524,983,0,1,2340.994,0.010090,28.27,
525,1064,0,1,2065.078,0.010090,9.47,
526,1098,0,1,2909.538,0.010092,10.19,
527,551,0,1,402.163,0.010091,6.39,
